sample	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
GENIE-MSK-P-0003368-T01-IM5	-0.0939	-0.0939	-0.0314	-0.0314	-0.086	-0.086	-0.1465	-0.0125	-0.1066	-0.1044	-0.1044	-0.0153	-0.0153	-0.026	-0.026	-0.0536	-0.0536	-0.036	-0.036	0.0493	0.0552	-0.0814	-0.0625	-0.0075	-0.0055	-0.0056	-0.0056	-0.0635	-0.0635	-0.0225	-0.0225	0.0348	-0.1487	0.0483	0.0483	0.0408	0.0408	-0.0144	-0.0144	-0.0645	-0.05
GENIE-MSK-P-0003372-T01-IM5	-0.2527	-0.2527	-0.03	0.0108	-0.0069	-0.0207	-0.024	-0.0176	-0.0973	-0.0366	-0.0342	-0.0221	-0.0221	-0.0305	-0.0305	0.156	0.2026	0.1208	0.1172	-0.2802	0.2136	-0.0202	0.0545	0.0111	-0.0385	0.0246	-0.0247	-0.0595	0.0275	-0.1432	-0.1432	0.2347	-0.1608	0.2312	0.2312	0.0694	0.0694	-0.2991	-0.1308	-0.0788	-0.0788
GENIE-MSK-P-0003374-T01-IM5	-0.2135	-0.2135	0.0195	-0.1176	-0.021	0.0769	-0.018	-0.2193	0.0687	0.0685	-0.1503	0.0416	0.0416	0.0124	0.0124	0.0557	0.0557	-0.0106	0.0504	0.1073	0.1073	0.1246	0.0021	0.0807	0.0611	-0.1564	-0.0232	0.0051	0.0051	0.0731	0.0381	0.0698	0.049	0.0951	0.0365	0.0144	0.0144	0.0166	0.0166	-0.0258	-0.0258
GENIE-MSK-P-0003377-T01-IM5	-0.042	-0.042	0.002	0.002	-0.014	-0.014	-0.1265	-0.016	-0.044	0.1577	-0.0989	0.0587	0.0587	0.0911	0.0911	-0.1503	0.1377	0.029	0.1178	0.0131	0.0131	0.0748	-0.284	-0.0739	-0.0739	0.0854	0.0854	0.0638	0.0638	-0.0011	-0.3123	0.1435	-0.1665	0.1072	0.1422	-0.2379	0.0774	0.0279	0.0279	0.0069	0.0082
GENIE-MSK-P-0003401-T01-IM5	-0.125	-0.125	-0.08	-0.08	-0.0419	-0.0419	-0.0934	-0.0343	0.0345	-0.0698	-0.0698	-0.0331	-0.0331	-0.0025	0.0138	0.0161	0.0161	0.0366	0.0528	-0.0207	-0.0248	-0.0772	-0.0121	-0.0292	-0.0292	-0.0123	-0.0233	-0.0617	-0.0617	-0.0503	-0.0503	-0.0974	-0.0974	0.0177	0.0177	-0.0131	-0.0131	-0.0356	-0.0356	-0.0096	-0.033
GENIE-MSK-P-0003406-T01-IM5	0.0411	0.0411	0.0732	0.0427	0.0292	0.024	0.0611	-0.4074	0.0452	0.0078	0.0078	0.0187	0.0187	0.0233	0.0233	0.0391	0.0348	0.1436	0.3588	0.0078	0.0078	0.0724	-0.1591	0.0624	0.0442	-0.3947	-0.104	0.0759	0.0759	-0.0224	0.3187	-0.0162	0.0502	0.0422	0.0422	0.0635	0.0635	-0.3992	-0.3992	-0.083	-0.0784
GENIE-MSK-P-0003432-T01-IM5	-0.0951	-0.0559	0.0574	-0.1639	0.2791	0.2235	-0.1896	0.0911	0.1142	-0.2668	-0.2668	-0.1113	-0.0627	-0.0892	-0.0892	-0.2305	0.5629	-0.0231	-0.0199	0.169	0.169	-0.2381	0.0129	0.2658	0.2198	-0.2481	0.3811	0.0068	-0.0067	0.0713	-0.0175	0.2069	-0.1861	-0.1863	0.1125	-0.0209	0.255	-0.0167	-0.2341	0.1014	0.0906
GENIE-MSK-P-0003456-T01-IM5	-0.7587	-0.7587	-0.0745	-0.0644	-0.098	-0.098	-0.1725	-0.0656	-0.0841	-0.1854	-0.1601	-0.0845	-0.1265	-0.0026	-0.0026	0.1549	0.1549	-0.0568	-0.0452	-0.0409	-0.0409	-0.0938	-0.1664	-0.033	-0.033	-0.0013	0.0083	-0.0542	-0.0192	0.0183	1e-04	-0.0217	-0.0217	0.4452	0.4703	-0.0464	-0.0464	-0.0522	-0.0667	-0.074	-0.0271
GENIE-MSK-P-0003495-T01-IM5	-0.0024	-0.0031	0.0517	0.0517	-0.1579	-0.1579	-0.1773	0.0146	0.0446	-0.0646	-0.0848	-0.0053	-0.0061	0.4329	-0.2289	0.1192	-0.1407	0.0198	0.0198	-0.0511	-0.0511	0.0756	0.0999	0.0647	0.0455	-0.1888	-0.1159	0.1181	-0.1658	0.0554	0.0554	-0.0076	0.0218	0.0811	0.0811	0.0338	0.0338	-0.0323	-0.0323	-0.0787	-0.0787
GENIE-MSK-P-0003507-T01-IM5	0.4541	-0.3055	-0.3038	-0.0049	0.1052	0.0577	0.2911	-0.2182	0.3555	0.1309	-0.0059	0.0925	0.1384	0.0053	0.0682	-0.0701	-0.0133	0.0126	0.0343	0.2174	0.3421	-0.1989	-0.2741	0.1662	0.0478	-0.1976	0.163	-0.2303	-0.2692	-0.2722	-0.1917	-0.2728	-0.259	0.2699	0.4388	-0.2321	0.0586	-0.3433	-0.3052	0.059	-0.4353
GENIE-MSK-P-0003521-T02-IM5	-0.0105	-0.0209	0.134	-0.2185	-0.1813	-0.1043	0.1374	-0.108	-0.1408	-0.1716	-0.1716	-0.1683	0.1379	0.1801	-0.2676	0.1297	0.4022	0.0494	0.1516	-0.0096	-0.0096	-0.0302	-0.1301	0.1254	0.0155	-0.1637	0.0824	0.1486	-0.097	0.2585	-0.0127	-0.1628	-0.0841	0.0633	0.0633	-0.1219	-0.0543	-0.0678	-0.0678	0.0099	0.0099
GENIE-MSK-P-0003524-T01-IM5	0.0486	0.0486	0.0629	0.0226	0.012	0.0186	0.0277	-0.0032	0.0388	0.0463	0.0463	0.0211	0.0123	-0.0096	-0.0096	0.0605	0.0719	0.0122	0.0122	0.0271	0.0271	0.033	0.0486	0.0589	0.0243	0.0354	0.0311	0.0427	0.0427	0.0033	0.0033	-0.0512	-0.0197	0.062	0.0161	0.0307	0.0307	0.0094	0.0094	-0.0437	-0.0437
GENIE-MSK-P-0003543-T01-IM5	-0.0244	-0.0244	-0.0826	0.0242	0.061	0.1021	-0.0642	0.0627	-0.077	-0.1086	-0.1086	-0.0422	0.12	-0.1178	-0.1178	0.1969	-0.0094	0.084	0.084	0.084	0.084	0.097	-0.0076	0.0195	0.0284	-0.0203	-0.0186	0.106	0.0748	0.1623	-0.0589	0.0859	0.115	-0.1161	0.0268	-0.0242	0.0991	-0.0582	-0.0721	-0.1599	-0.089
GENIE-MSK-P-0003553-T01-IM5	0.1293	-0.0786	-0.1061	-0.1061	-0.1709	0.0975	-0.2137	0.1565	-0.6283	0.1782	-0.0511	-0.3515	-0.0381	0.2366	-0.2982	0.0679	0.2529	0.1244	0.1325	0.3738	0.3738	-0.1668	0.2098	0.0543	-0.0305	0.2668	0.259	-0.5596	-0.2091	0.7325	-0.3264	-0.1148	-0.157	-0.2027	0.3984	0.1736	0.5429	-0.0719	-0.0719	-0.483	0.0385
GENIE-MSK-P-0003555-T01-IM5	0.0139	0.0139	0.046	0.0138	-0.0144	-0.0123	-0.0119	-0.0074	0.0395	0.0456	0.0456	0.0164	0.0146	-0.0285	-0.0285	0.0533	0.0459	-0.0047	-0.0047	-0.0149	-0.0149	0.0145	0.0534	0.0115	0.0115	0.0334	0.0087	0.044	0.0127	-0.0245	-0.0245	0.0298	0.0417	0.216	0.2186	0.0111	0.0111	1e-04	0.0161	-0.0362	-0.0537
GENIE-MSK-P-0003559-T01-IM5	-0.0132	-0.0084	0.021	0.021	0.0029	0.0029	0.0135	0.0011	-0.0056	-0.0374	-0.0354	-0.0206	-0.0206	-0.0174	-0.0157	-0.0294	-0.0294	0.0098	0.0098	0.0192	0.0192	0.032	-0.0023	0.0111	0.0111	0.013	0.013	-0.0026	-0.0026	0.0226	0.0226	0.0106	0.0218	0.0212	0.0212	0.0087	0.0087	5e-04	5e-04	-0.0231	-0.0597
GENIE-MSK-P-0003560-T01-IM5	0.0013	0.0222	0.006	0.006	0.0013	0.0083	-0.0221	-0.0194	-0.0304	0.0176	0.0176	-0.5776	-0.0134	-0.0789	-0.0789	0.0589	0.0313	0.0011	-0.0181	0.0464	0.4313	-0.0039	-0.5621	0.0138	-0.0211	-0.0052	-0.0057	-0.0027	-0.0027	-0.0217	0.2851	0.3206	-0.6361	0.5659	0.7814	-0.0103	-0.0103	-0.3243	0.0368	-0.1256	-0.1256
GENIE-MSK-P-0003562-T01-IM5	0.0832	0.1942	-0.2638	0.5305	0.3591	-0.3177	-0.5502	0.3703	-0.3759	-0.2321	0.4729	-0.4499	0.079	-0.53	-0.53	-0.2002	-0.1973	-0.1633	0.5613	0.064	0.064	0.4259	0.2568	0.0971	0.0438	0.1174	0.0222	-0.4578	-0.4971	0.7664	-0.0659	0.2768	-0.4673	0.3656	0.3312	-0.979	0.5751	-0.4169	-0.3932	0.2924	0.1838
GENIE-MSK-P-0003567-T01-IM5	-0.3701	-0.3701	-0.0088	-0.2321	0.0759	-0.012	0.0819	0.0452	-0.0179	-0.0803	-0.0803	-3e-04	-0.0294	-0.0066	-0.0066	0.2382	0.2443	0.0218	-0.0199	0.2888	0.2888	-0.0313	-0.0317	0.0209	0.0109	0.0049	0.0058	0.0307	0.0307	0.0382	0.0382	-0.0459	0.0435	0.3733	0.3082	0.0515	0.0515	-0.0687	0.0093	-0.0617	-0.0919
GENIE-MSK-P-0003568-T01-IM5	0.0319	0.0319	0.0567	0.0567	0.0235	0.0342	0.0386	-0.3751	0.053	0.3559	0.3559	0.0226	0.0152	-0.0228	-0.0228	0.0577	0.0706	0.044	0.033	0.0414	0.0414	0.0602	0.0713	0.0353	0.0205	-0.3189	0.0824	0.0888	0.0888	0.3899	0.3899	-0.0724	-0.1154	0.055	0.055	0.048	0.048	-0.354	-0.354	-0.1347	-0.082
GENIE-MSK-P-0003583-T01-IM5	0.0056	0.0056	0.0324	0.0324	0.0561	0.0428	0.0409	-0.0024	0.0291	0.0214	0.0214	0.0525	0.0264	0.0087	0.0087	0.0573	0.0499	0.0107	0.0107	0.0039	0.0039	0.0319	0.1028	0.0312	0.0184	0.0371	0.0371	0.0367	0.0367	0.0513	0.0513	-0.0368	-0.0368	0.0041	0.0577	0.0372	0.0372	0.0272	0.0666	-0.0425	-0.0425
GENIE-MSK-P-0003584-T01-IM5	-0.0285	-0.0285	0.0386	-0.0161	0.084	0.1017	-0.1113	0.069	-0.0333	-0.0786	-0.0786	-0.0022	0.0235	-0.11	-0.11	0.005	0.005	0.0665	0.1752	0.14	0.1062	-0.0571	0.02	0.0275	0.092	0.0716	0.0716	0.0584	0.0584	0.1009	0.0374	-0.0378	-0.094	0.0388	0.0773	0.034	0.034	-0.0322	0.0875	-0.0647	-0.0163
GENIE-MSK-P-0003596-T01-IM5	-0.0652	-0.1894	-0.1153	0.1549	0.049	0.049	-0.162	-0.2577	0.1576	0.0726	-0.0546	-0.1474	-0.0896	0.0174	-0.2084	0.03	0.4076	-0.0218	-0.0501	0.1929	0.1929	0.3198	0.0369	0.1145	5e-04	0.1796	0.1796	-0.0903	-0.1574	0.2541	-0.2104	0.113	-0.3377	0.1293	0.087	-0.1187	-0.042	-0.1363	-0.0481	-0.0011	-0.0011
GENIE-MSK-P-0003598-T01-IM5	-0.1055	-0.1055	-0.0667	-0.0666	0.6885	0.1569	-0.3328	-0.5644	-0.1228	-0.1717	-0.2308	-0.128	-0.128	0.031	-0.0274	0.1186	0.1004	-0.0962	-0.064	-0.1382	-0.1382	0.3268	-0.6799	-0.1099	-0.0666	-0.0666	-0.0581	-0.0628	-0.0628	0.377	0.3714	-0.1503	-0.1502	-0.1015	0.1548	-0.0929	-0.0929	-0.0456	-0.1202	-0.1831	-0.0434
GENIE-MSK-P-0003620-T01-IM5	-0.6014	-0.6014	-0.4996	0.1151	-0.2085	-0.2	0.0515	0.1603	-0.6015	0.103	0.103	-0.1042	0.3405	0.0644	0.0644	0.2451	0.2378	-0.3908	-0.1859	0.1794	0.1794	0.1688	0.749	0.1616	0.0995	-0.431	-0.4066	0.1442	0.1442	0.0323	0.1464	0.0796	-0.599	0.3906	0.2345	0.1959	0.4236	-0.2246	-0.3367	-0.0066	-0.0066
GENIE-MSK-P-0003621-T01-IM5	0.0127	0.0127	-0.0112	-0.0112	-0.0076	-0.0076	0.0257	0.0665	0.0027	-0.1319	-0.1132	-0.0438	-0.0438	0.0595	0.0595	-0.2531	-0.2531	0.0198	0.0198	0.0038	0.0038	-0.059	-0.1145	0.0225	0.0454	0.0367	0.0367	0.0716	0.1106	0.0197	0.0197	0.0836	0.0836	0.0672	0.0672	0.013	0.013	0.0249	0.0134	-0.0351	-0.0351
GENIE-MSK-P-0003628-T01-IM5	0.0183	0.0183	0.0136	0.0248	0.0488	-0.1165	-0.0549	0.0157	-0.3549	-0.0291	-0.0295	-0.2768	0.1316	0.0502	-0.1386	0.0029	0.0029	0.0396	0.1077	0.0436	0.0436	0.0075	0.0157	0.2511	0.0193	-0.205	0.2974	-0.1146	0.0085	0.0685	0.0685	-0.015	-0.3136	0.3104	0.1483	0.0137	0.0137	0.0392	0.0392	-0.0743	0.3099
GENIE-MSK-P-0003635-T01-IM5	-0.2181	-0.2247	-0.1848	-0.4135	-0.242	-0.242	-0.1888	0.4893	-0.3653	-0.2613	-0.2898	-0.1691	0.1579	-0.3743	-0.3743	0.225	0.5102	0.0068	0.1847	-0.0172	-0.467	-0.0716	-0.0774	0.0401	0.0219	-0.2343	0.1426	-0.2808	-0.0996	0.5273	-0.1871	0.187	0.1568	0.515	0.5288	-0.3975	-0.3515	0.3053	0.237	0.2993	0.2993
GENIE-MSK-P-0003645-T01-IM5	0.0039	0.0039	-0.0096	-0.0096	0.3556	0.3556	-0.0249	0.0101	0.0042	-0.0526	-0.0526	-0.0445	-0.0445	-0.0519	-0.0519	0.0257	0.0057	-0.0166	-0.0166	-0.0023	-0.0023	0.0252	0.0138	-0.0404	-0.0303	-0.3546	0.0157	0.0095	0.0095	0.0167	0.0167	-0.0855	-0.0244	0.3897	0.363	-0.1514	-0.1514	-0.1332	-0.1332	-0.1863	-0.1863
GENIE-MSK-P-0003650-T01-IM5	-0.0159	-0.0159	-0.0171	-0.0171	0.0484	0.0484	0.1455	-0.0404	-0.0487	-0.0018	-0.0018	0.0107	0.0107	-0.0257	-0.0257	-9e-04	0.0074	-0.0501	0.1461	0.0052	0.0052	-0.2306	0.0018	-0.0161	-0.0161	0.0326	0.0326	-0.1335	-0.1335	-0.0126	-0.0126	0.016	0.0766	0.0328	0.0328	0.0254	-0.0215	-0.0581	-0.0581	-0.0179	-0.0131
GENIE-MSK-P-0003670-T01-IM5	-0.0848	-0.0848	0.0195	0.0195	0.0337	0.0337	-0.0688	0.1818	0.0071	-0.0409	-0.0409	-0.1587	-0.1587	-0.0394	-0.0394	-0.0694	-0.0694	-0.0914	-0.0664	0.0553	0.0553	0.0696	-0.0863	0.0334	0.0276	0.0361	0.0568	0.1936	0.1936	0.139	0.139	-0.0667	-0.0719	0.2677	0.2677	-0.0609	-0.0609	-0.0562	-0.0531	-0.1027	-0.0997
GENIE-MSK-P-0003698-T02-IM5	-0.0352	-0.0593	-0.3198	-0.1003	-0.1538	0.0794	-0.1405	-0.0363	0.0329	0.015	-0.0236	0.105	0.0724	-0.1156	-0.0523	-0.0198	0.0806	-0.0524	0.0565	-0.0424	-0.0215	0.01	-0.0666	-0.0563	-0.0875	0.044	-0.0855	-0.1943	-0.3226	-0.0195	-0.0618	0.0589	0.0433	0.0525	-0.1087	-0.1759	0.0861	-0.3582	-0.144	0.0922	-0.0088
GENIE-MSK-P-0003700-T01-IM5	-0.1665	-0.1665	-0.0154	-0.0154	-5e-04	-5e-04	1e-04	-0.0195	0.2102	0.0095	0.0095	-0.1358	0.0782	-0.0249	-0.0249	0.0098	0.0098	0.0776	0.0776	0.0387	0.0387	0.0487	-0.0681	-0.0256	-0.0256	0.0053	0.0053	-0.0048	-0.0048	0.0714	0.0714	-0.083	-0.083	0.0141	0.0141	0.0779	0.1525	-0.043	-0.043	-0.0469	-0.0337
GENIE-MSK-P-0003703-T01-IM5	-0.458	-0.458	-0.3716	0.0939	0.0636	-0.2125	0.1075	-0.2613	-0.0302	0.0736	-0.3015	-0.4896	0.0178	0.0401	0.0401	0.1008	-0.1794	-0.0185	0.1694	0.1326	0.1323	0.109	-0.1571	0.0768	0.0332	0.0774	-0.4492	0.1794	-0.4471	-0.1114	0.2619	0.2086	0.0394	0.0702	0.0624	-0.3828	0.5476	0.1205	0.1205	0.0332	-0.2819
GENIE-MSK-P-0003711-T01-IM5	-0.1484	-0.2049	-0.2108	-0.1604	0.0738	0.0754	-0.1747	0.0843	0.0379	0.1126	0.0792	-0.1765	-0.1162	0.0749	0.0749	0.0308	0.0308	0.0825	-0.0237	0.0663	0.0658	0.0981	0.08	0.2215	0.1387	0.0867	0.0867	-0.2367	0.06	0.1404	0.1404	-0.1986	-0.0253	0.0908	0.0908	0.0663	0.0663	-0.0967	0.0967	-0.0624	-0.0624
GENIE-MSK-P-0003719-T01-IM5	0.0653	0.0653	0.0726	-0.1316	0.0895	0.0952	0.2527	0.0742	0.0578	0.0562	-0.3863	-0.4172	0.0916	0.0696	0.0696	0.0591	0.0591	0.0979	0.0945	0.0205	0.1661	0.1294	0.1137	-0.2406	0.0707	0.0531	0.0929	-0.4788	0.0802	0.1118	0.1118	0.0945	-0.0069	-0.5153	0.0816	-0.2463	0.0731	0.0918	0.0918	-0.3751	-0.3694
GENIE-MSK-P-0003721-T01-IM5	-0.0965	-0.1318	-0.0231	-0.0363	-0.0522	-0.0522	0.1674	-0.1753	0.1128	-0.0093	-0.0093	0.0641	0.0548	-0.1962	-0.1962	0.1583	0.1322	-0.2069	-0.1881	0.056	0.0785	0.1214	-0.1327	0.0843	0.0133	-0.1164	-0.1164	-0.171	-0.171	0.3059	0.3059	0.0131	0.0476	0.1899	0.2003	-0.1806	-0.1806	-0.1504	-0.1504	-0.0398	-0.0398
GENIE-MSK-P-0003726-T01-IM5	-0.0092	0.0013	-0.0171	-0.0572	0.0398	-0.0119	-0.0231	-0.1966	0.0203	-0.0486	-0.1006	-0.0011	-0.0011	-0.0079	-0.0079	-0.0279	-0.0279	0.0166	2e-04	0.0073	0.0073	0.0391	0.0298	7e-04	7e-04	-0.3863	0.5033	-0.0311	-0.0311	-0.0061	-0.0061	0.0117	0.0117	-0.0074	-0.0074	-0.0179	-0.0179	0.0044	0.0044	0.2099	0.2099
GENIE-MSK-P-0003728-T01-IM5	-0.0117	-0.0117	-0.1189	-0.1189	0.2564	0.2778	-0.0011	-0.0279	0.0829	0.0022	0.0022	-0.0053	-0.0053	0.0279	0.0279	0.0041	0.0041	-0.0072	0.0707	-0.0294	-0.0294	-0.0636	0.1572	0.0245	0.0299	0.0332	0.0251	0.0154	0.0154	-0.0151	-0.0151	-0.0021	-0.0021	0.0527	0.0527	2e-04	2e-04	-0.0579	-0.086	-0.0397	-0.0397
GENIE-MSK-P-0003738-T02-IM5	-0.0285	-0.0285	-0.0091	-0.0091	-0.0121	-0.0121	-0.0387	-0.0244	-0.0224	-0.0321	-0.0321	0.0025	0.0166	-0.0117	-0.0117	-0.0014	-0.0014	0.0253	0.0253	0.0089	0.0089	0.0067	-0.024	0.0263	0.0263	-0.023	-0.023	0.0095	0.0095	0.0904	0.0904	-0.0058	-0.0196	0.0328	0.0328	0.0027	0.0027	0.0229	0.0229	6e-04	6e-04
GENIE-MSK-P-0003742-T01-IM5	-0.5911	-0.2823	-0.1966	-0.2389	-0.2701	-0.2701	-0.2548	-0.3937	0.1774	-0.3027	-0.3013	-0.2798	-0.2798	-0.2313	-0.2313	0.4238	0.4238	0.4585	0.4585	-0.2746	-0.2746	0.1572	0.2859	-0.2311	-0.2311	-0.2376	-0.2588	0.3097	0.3097	0.1899	0.1899	-0.2859	-0.2859	0.4731	0.4731	0.3867	0.3867	-0.8995	-0.265	-0.1981	-0.5544
GENIE-MSK-P-0003743-T01-IM5	0.0487	0.0108	0.0161	0.0214	0.1108	0.031	0.0428	0.0765	0.0653	0.0189	0.0142	0.0123	0.0123	0.0498	0.0498	0.0283	0.026	0.0109	0.0131	0.0256	0.0796	0.0944	0.0119	0.0217	0.0217	0.125	0.1382	0.001	0.001	-0.0097	-0.0097	0.0283	0.0205	0.0293	0.0293	-0.0217	0.0028	0.0405	0.0405	0.0587	0.0174
GENIE-MSK-P-0003749-T01-IM5	-0.1538	-0.1538	-0.2131	-0.1333	-0.4746	0.0102	-0.2031	-0.1636	0.1687	-0.1701	-0.1824	0.1054	0.0816	0.2016	0.2248	-0.1176	-0.1103	0.1477	0.1752	-0.2353	-0.2353	-0.5013	-0.2053	-0.1045	-0.0376	0.1701	-0.0808	-0.0238	-0.0238	0.2121	-0.0934	-0.1542	-0.109	-0.0461	-0.1287	-0.1163	-0.1034	-0.1598	-0.1241	-0.3224	-0.3224
GENIE-MSK-P-0003757-T01-IM5	-0.1004	-0.1521	0.1396	-0.1376	-0.0775	0.0977	0.095	-0.0021	0.2604	0.0292	0.0292	0.0839	0.0839	-0.0675	-0.0675	0.0116	-0.0097	0.0992	0.1649	0.0954	0.0954	0.1404	0.1087	-0.1225	-0.1225	0.0967	0.097	0.1151	0.1151	0.0245	-0.1429	0.4197	-0.1826	0.2521	0.2521	-0.2126	0.0704	-0.1619	-0.1775	-0.0065	-0.0065
GENIE-MSK-P-0003766-T01-IM5	0.0661	0.0661	0.0575	-0.2512	0.0629	0.0629	-0.1691	-0.2621	0.078	0.0538	0.0538	0.1175	0.1175	0.0172	0.0172	0.0596	0.0548	0.0692	0.0692	0.2627	0.2627	0.1427	0.1076	0.0506	0.0506	-0.2717	0.0355	-0.2853	-0.2853	0.0635	0.0678	0.0565	0.0442	0.051	0.051	0.0087	0.0087	-0.294	-0.294	-0.055	-1e-04
GENIE-MSK-P-0003782-T01-IM5	0.0822	0.0563	0.0085	0.0085	0.0013	0.0443	-0.0158	0.0295	0.0175	0.1175	0.0586	-0.0162	-0.0162	-0.0501	-0.0501	-0.0039	-0.0039	0.0174	0.0107	-0.0261	-0.0231	0.085	-0.0491	0.0254	0.014	0.0119	0.0119	0.1021	0.1021	0.0896	0.0896	-0.046	0.0138	0.0184	0.0708	0.0479	0.0479	0.0631	0.0631	-0.0522	-0.0445
GENIE-MSK-P-0003783-T01-IM5	-0.6334	-0.7985	-0.1047	-0.1047	-0.1069	-0.1069	-0.0858	-0.0836	-0.0949	-0.1677	-0.1587	-0.0958	-0.1169	-0.0711	-0.0711	0.3881	0.3881	-0.1352	-0.0782	-0.0894	-0.0894	-0.0703	-0.0681	-0.096	-0.096	0.3278	0.3616	-0.0967	-0.0967	-0.076	-0.076	-0.0944	-0.0532	0.415	0.43	-0.0784	-0.0784	-0.1979	-0.1061	-0.1902	-0.1902
GENIE-MSK-P-0003811-T01-IM5	0.1761	-0.2833	0.0742	0.0742	0.5428	-0.0154	-0.5103	-0.0189	-0.2897	0.0505	-0.2385	0.0504	0.0361	0.0326	0.0326	-0.0883	-0.025	-0.232	-0.217	0.5735	0.3979	-0.262	0.4157	0.2164	-0.2623	-0.2337	0.2079	-0.3276	-0.2985	0.7445	-0.3226	-0.3039	0.2586	0.1735	0.0819	-0.1187	0.5963	-0.3047	-0.2562	-0.2219	-0.2219
GENIE-MSK-P-0003814-T01-IM5	0.0076	0.0076	-0.0929	-0.0929	-0.0752	-0.0514	0.0212	-0.112	-0.0932	-0.1649	-0.1649	0.0051	0.0828	0.1823	-0.1282	0.0535	0.0535	-0.0265	-0.0265	-0.0635	0.0799	-0.1265	0.0419	0.067	0.067	0.0266	0.0266	0.0061	0.0061	-0.0562	-0.0562	-0.0639	-0.0262	-0.0096	-0.0096	-0.1074	0.5246	-0.1301	-0.1215	-0.0189	-0.0189
GENIE-MSK-P-0003841-T01-IM5	0.5077	-0.3941	-0.106	-0.2682	-0.0063	0.0748	-0.0348	0.0987	-0.1326	0.0446	0.0446	-0.2188	0.2236	0.0493	0.0493	0.034	0.1329	-0.0559	0.7313	0.5828	0.5593	0.111	0.2823	0.1431	-0.2601	0.2347	0.1813	-0.2238	0.0269	0.0031	0.0031	0.07	-0.082	-0.0288	-0.0288	-0.4227	-0.1718	-0.3157	-0.1089	-0.1577	0.0497
GENIE-MSK-P-0003865-T01-IM5	-0.5023	-0.5023	0.0174	0.0174	0.0293	0.0293	-0.4498	-0.2683	-0.0189	-0.0605	-0.0612	0.0245	0.0063	-9e-04	-9e-04	-0.0392	-0.0392	0.0218	0.0259	0.0911	0.0911	0.374	-0.0054	0.027	0.027	0.0256	0.0755	-0.0077	0.0145	0.0473	0.0473	0.0429	0.0225	0.3738	0.3839	0.0384	0.0384	0.0239	0.0179	0.0206	0.0206
GENIE-MSK-P-0003868-T01-IM5	0.2888	-0.2643	0.1803	-0.0632	0.0689	0.0689	0.3395	-0.0547	-0.1732	0.0943	-0.1352	0.2073	0.0614	-0.0955	-0.1315	0.1434	0.1839	-0.0728	-0.2357	-0.0572	0.4843	0.1499	0.1424	-0.0976	-0.1271	-0.0586	-0.0462	-0.3382	-0.1863	0.2183	-0.3642	0.2049	0.1215	0.3003	0.2782	-0.189	0.6056	-0.2376	-0.1572	0.0404	-0.0214
GENIE-MSK-P-0003869-T01-IM5	-0.0837	-0.0837	0.073	0.1185	0.1917	0.0071	-0.2164	0.1108	0.1193	0.3214	-0.3952	-0.3575	0.1118	-0.0358	-0.2709	-0.0175	0.1329	-0.1371	0.3262	-0.0794	0.4769	-0.206	-0.0818	-0.0849	-0.0849	-0.2158	-0.0742	-0.1856	-0.1856	0.0775	-0.0361	-0.1041	-0.3189	0.0356	0.2591	-0.3288	0.0683	-0.1298	-0.1298	-0.2485	-0.3378
GENIE-MSK-P-0003871-T01-IM5	-0.0423	-0.1762	0.1044	0.0642	-0.4225	-0.3872	-0.905	0.2423	-0.3996	-0.3879	-0.3937	-0.2244	0.448	0.1184	-0.0788	0.0545	0.0545	0.2124	0.2484	0.2628	0.2665	-0.0103	0.5797	-0.1761	-0.2006	0.2845	-0.023	0.0901	-0.4348	0.4149	-0.1155	0.4342	-0.3209	0.0058	0.3154	0.2604	0.2244	-0.3677	-0.4059	-0.4909	0.089
GENIE-MSK-P-0003872-T01-IM5	-0.5339	-0.5132	-0.0987	-0.0935	0.1128	0.1128	0.7178	-0.098	0.1886	-0.1816	-0.3742	0.1775	0.1883	0.209	0.209	0.0913	0.0913	-0.0987	0.5119	0.4762	0.4762	-0.1681	0.1595	0.1635	-0.1999	-0.0958	-0.2747	0.2957	0.133	-0.0806	-0.0806	0.4353	-0.3361	0.0669	0.0578	0.1942	0.1942	-0.5231	-0.5231	-0.2253	-0.2099
GENIE-MSK-P-0003881-T01-IM5	-0.1347	-0.1347	0.0777	-0.0027	0.0938	0.0938	0.0521	0.0793	-0.3283	0.0521	0.0325	0.0602	0.0602	0.0822	0.0822	0.0709	0.0709	-0.3711	-0.1015	0.0936	0.0936	0.0874	-0.1011	0.0888	0.0888	-0.1232	-0.1202	0.0946	0.0946	-0.1172	-0.1172	0.3959	0.0804	0.0841	0.0841	-0.3006	0.3756	-0.337	0.1074	0.0384	0.0543
GENIE-MSK-P-0003892-T01-IM5	0.0484	0.0484	-0.0819	-0.0819	0.3185	0.0724	0.0755	0.0408	-0.0808	-0.0653	-0.0653	-0.0382	-0.0603	-0.1106	-0.1106	0.0777	0.0685	0.0037	0.0037	-0.0029	0.0776	0.1188	-0.0932	0.057	0.0503	-0.0365	0.106	-0.0754	-0.0754	0.154	0.154	-0.115	-0.115	0.088	0.088	0.017	0.017	-0.0203	-0.0194	-0.0061	0.0085
