sample	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
GENIE-MSK-P-0020649-T01-IM6	-0.1147	-0.1231	-0.048	-0.0811	-0.0873	-0.0873	-0.6984	-0.006	-0.0616	-0.0599	-0.0599	-0.8314	-0.1367	-0.0207	-0.0207	-0.1356	-0.1361	0.0337	-0.099	0.4568	0.0813	0.0241	-0.147	-0.083	-0.083	-0.6836	0.363	-0.0277	-0.0332	0.6609	0.6916	0.3784	0.1015	-0.0734	-0.0734	0.3738	0.3921	0.3961	0.4082	-0.1804	0.0753
GENIE-MSK-P-0020714-T01-IM6	-0.006	-0.048	0.1149	0.1188	-0.321	0.1836	-0.4233	0.1228	0.1292	-0.0738	0.0954	-0.3249	-0.0097	0.0017	-0.0616	-0.2444	-0.0542	-0.0016	0.0369	0.149	0.3375	-0.0611	-0.2568	0.1103	-0.1282	-0.0143	0.2449	0.0528	-0.2406	0.2978	-0.2705	-0.2373	-0.3449	-0.1489	0.2966	-0.128	0.1226	-0.2875	-0.2875	-0.0814	-0.0968
GENIE-MSK-P-0020770-T01-IM6	-0.0952	-0.0952	-0.1253	-0.1253	-0.1213	-0.1213	0.0699	0.079	0.0353	-0.1866	-0.1866	9e-04	-0.1346	-0.2658	-0.2658	-0.0515	-0.0621	-0.0578	0.3471	0.0688	0.0688	0.2854	0.2582	-0.106	-0.106	0.0215	0.0276	-0.3299	-0.3299	0.0594	0.0594	-0.0866	-0.0866	0.0844	0.0844	-0.3061	0.6347	-0.0907	-0.1424	-0.0644	-0.0644
GENIE-MSK-P-0020835-T01-IM6	0.03	0.03	-0.0162	-0.0162	-0.0021	-0.0021	-0.0308	-0.0086	0.0587	0.0766	0.0766	0.0033	0.0063	-0.0464	-0.0464	0.1074	0.1074	-0.0097	-0.0097	0.0562	0.0562	0.097	0.044	-0.0219	-0.0219	-0.0072	-0.0202	0.0115	0.0115	-7e-04	-7e-04	-0.0775	-0.0659	-0.0101	-0.0101	0.0171	0.0171	0.022	0.022	-0.0491	-0.0491
GENIE-MSK-P-0020846-T01-IM6	0.0508	0.0508	0.0674	0.0302	0.0085	-0.0078	-0.0076	0.0102	0.0675	0.018	0.018	0.0075	0.0075	-0.0513	-0.0513	0.0269	0.0289	0.003	0.003	0.0864	0.0864	0.0432	0.0126	0.0456	0.0072	0.0141	0.0141	0.033	0.033	-0.0071	-0.0056	-0.0793	-0.0793	0.0354	0.0354	0.0229	0.0229	0.0389	0.0389	-0.0402	-0.0402
GENIE-MSK-P-0020878-T01-IM6	0.037	0.037	0.0826	0.0012	0.0013	0.0253	0.2269	-0.0412	-0.0723	0.064	0.064	-0.1711	0.0825	-0.1591	-0.1814	0.0203	0.0203	-0.0552	0.0057	0.2187	0.2187	0.0314	-0.0445	0.0305	0.0305	0.0431	0.0441	-0.0957	-0.0957	-0.0086	-0.0086	-0.0953	-0.0631	0.0398	0.0398	0.0192	0.0192	0.0408	0.0408	-0.0263	-0.0263
GENIE-MSK-P-0020903-T01-IM6	0.0538	0.0538	0.1396	0.087	0.0363	0.0738	0.0408	0.0431	-0.2165	-0.0456	-0.2284	0.0329	0.0329	0.0379	0.2058	0.0798	0.0798	-0.0101	0.0327	-0.0059	0.3472	-0.2418	-0.2463	0.0385	0.0385	-0.0279	0.0333	0.0371	0.0371	-0.3123	-0.0774	-0.1144	-0.0629	0.0456	0.0422	0.3961	0.1196	0.0746	0.0746	-0.0511	-0.0511
GENIE-MSK-P-0020965-T01-IM6	-0.0414	-0.0414	-0.004	-0.1058	-0.0247	-0.0247	0.063	0.1079	-0.0117	-0.0478	-0.0478	0.04	0.0067	-0.0591	-0.0591	0.0904	-0.1366	-0.0069	-0.0091	-0.034	-0.0034	0.0964	0.09	0.0154	0.0154	-0.1325	0.0633	0.005	0.005	-0.0443	-0.0896	0.1065	0.0215	0.0789	-0.016	-0.1128	0.1222	-0.0642	0.0726	-0.033	-0.033
GENIE-MSK-P-0020986-T01-IM6	0.2212	0.1199	0.0081	0.0413	0.1646	0.1646	-0.3475	-0.0599	0.0761	-0.3054	-0.302	-0.0585	-0.0585	0.1617	0.1617	-0.0313	-0.0313	-0.2137	0.225	-0.2599	0.0058	-0.2764	-0.2828	0.2121	0.0763	-0.2216	0.1965	-0.2866	-0.319	-0.2841	-0.2841	-0.0865	-0.3464	0.195	0.195	-0.0484	0.002	-0.3139	-0.3197	-0.4056	-0.072
GENIE-MSK-P-0020995-T01-IM6	0.1146	0.0823	-0.1519	0.1108	0.0332	0.0332	-0.1643	-0.0873	-0.0655	0.0688	0.0688	-0.0733	-0.0733	0.1085	-0.184	-0.0075	0.2734	-0.0151	-0.0127	-0.1208	0.2704	0.0874	0.017	0.0629	0.0386	0.0259	0.03	0.3058	-0.1393	-0.0582	-0.0582	-0.0802	-0.0453	0.1739	0.1739	-0.0605	0.0576	-0.1929	-0.1843	-0.0556	-0.0556
